No_of_crime,Location,Offences,Year
126,Taranaki Area,Prohibited and regulated weapons and explosives offences,1995
534,Taranaki Area,Property damage and environmental pollution,1995
635,Taranaki Area,Public order offences,1995
211,Taranaki Area,"Offences against justice procedures, government security and government operations",1995
21,Taranaki Area,Miscellaneous offences,1995
2,Whanganui Area,Homicide and related offences,1995
698,Whanganui Area,Acts intended to cause injury,1995
33,Whanganui Area,Sexual assault and related offences,1995
23,Whanganui Area,Dangerous or negligent acts endangering persons,1995
126,Whanganui Area,"Abduction, harassment and other related offences against a person",1995
37,Whanganui Area,"Robbery, extortion and related offences",1995
355,Whanganui Area,"Unlawful entry with intent/burglary, break and enter",1995
1154,Whanganui Area,Theft and related offences,1995
315,Whanganui Area,"Fraud, deception and related offences",1995
486,Whanganui Area,Illicit drug offences,1995
143,Whanganui Area,Prohibited and regulated weapons and explosives offences,1995
457,Whanganui Area,Property damage and environmental pollution,1995
740,Whanganui Area,Public order offences,1995
272,Whanganui Area,"Offences against justice procedures, government security and government operations",1995
19,Whanganui Area,Miscellaneous offences,1995
12,Wellington District,Homicide and related offences,1995
2958,Wellington District,Acts intended to cause injury,1995
155,Wellington District,Sexual assault and related offences,1995
92,Wellington District,Dangerous or negligent acts endangering persons,1995
680,Wellington District,"Abduction, harassment and other related offences against a person",1995
172,Wellington District,"Robbery, extortion and related offences",1995
1278,Wellington District,"Unlawful entry with intent/burglary, break and enter",1995
2047,Wellington District,"Fraud, deception and related offences",1995
1804,Wellington District,Illicit drug offences,1995
506,Wellington District,Prohibited and regulated weapons and explosives offences,1995
1555,Wellington District,Property damage and environmental pollution,1995
2726,Wellington District,Public order offences,1995
1373,Wellington District,"Offences against justice procedures, government security and government operations",1995
125,Wellington District,Miscellaneous offences,1995
2,Tasman District,Homicide and related offences,1995
852,Tasman District,Acts intended to cause injury,1995
55,Tasman District,Sexual assault and related offences,1995
48,Tasman District,Dangerous or negligent acts endangering persons,1995
219,Tasman District,"Abduction, harassment and other related offences against a person",1995
427,Tasman District,"Unlawful entry with intent/burglary, break and enter",1995
1675,Tasman District,Theft and related offences,1995
738,Tasman District,"Fraud, deception and related offences",1995
802,Tasman District,Illicit drug offences,1995
233,Tasman District,Prohibited and regulated weapons and explosives offences,1995
635,Tasman District,Property damage and environmental pollution,1995
1180,Tasman District,Public order offences,1995
254,Tasman District,"Offences against justice procedures, government security and government operations",1995
45,Tasman District,Miscellaneous offences,1995
1,Marlborough Area,Homicide and related offences,1995
263,Marlborough Area,Acts intended to cause injury,1995
11,Marlborough Area,Sexual assault and related offences,1995
37,Marlborough Area,"Abduction, harassment and other related offences against a person",1995
3,Marlborough Area,"Robbery, extortion and related offences",1995
90,Marlborough Area,"Unlawful entry with intent/burglary, break and enter",1995
426,Marlborough Area,Theft and related offences,1995
180,Marlborough Area,"Fraud, deception and related offences",1995
212,Marlborough Area,Illicit drug offences,1995
76,Marlborough Area,Prohibited and regulated weapons and explosives offences,1995
161,Marlborough Area,Property damage and environmental pollution,1995
389,Marlborough Area,Public order offences,1995
88,Marlborough Area,"Offences against justice procedures, government security and government operations",1995
19,Marlborough Area,Miscellaneous offences,1995
1,Nelson Bays Area,Homicide and related offences,1995
26,Nelson Bays Area,Sexual assault and related offences,1995
28,Nelson Bays Area,Dangerous or negligent acts endangering persons,1995
