No_of_crime,Location,Offences,Year
283,Southland Area,"Offences against justice procedures, government security and government operations",1995
61,Southland Area,Miscellaneous offences,1995
1,Northland District,Homicide and related offences,1996
1080,Northland District,Acts intended to cause injury,1996
72,Northland District,Sexual assault and related offences,1996
26,Northland District,Dangerous or negligent acts endangering persons,1996
241,Northland District,"Abduction, harassment and other related offences against a person",1996
43,Northland District,"Robbery, extortion and related offences",1996
591,Northland District,"Unlawful entry with intent/burglary, break and enter",1996
1133,Northland District,Illicit drug offences,1996
273,Northland District,Prohibited and regulated weapons and explosives offences,1996
681,Northland District,Property damage and environmental pollution,1996
1140,Northland District,Public order offences,1996
636,Northland District,"Offences against justice procedures, government security and government operations",1996
51,Northland District,Miscellaneous offences,1996
4,Waitemata District,Homicide and related offences,1996
2210,Waitemata District,Acts intended to cause injury,1996
87,Waitemata District,Sexual assault and related offences,1996
66,Waitemata District,Dangerous or negligent acts endangering persons,1996
703,Waitemata District,"Abduction, harassment and other related offences against a person",1996
69,Waitemata District,"Robbery, extortion and related offences",1996
687,Waitemata District,"Unlawful entry with intent/burglary, break and enter",1996
2931,Waitemata District,Theft and related offences,1996
1045,Waitemata District,"Fraud, deception and related offences",1996
1450,Waitemata District,Illicit drug offences,1996
460,Waitemata District,Prohibited and regulated weapons and explosives offences,1996
1456,Waitemata District,Property damage and environmental pollution,1996
2097,Waitemata District,Public order offences,1996
656,Waitemata District,"Offences against justice procedures, government security and government operations",1996
59,Waitemata District,Miscellaneous offences,1996
12,Auckland District,Homicide and related offences,1996
2377,Auckland District,Acts intended to cause injury,1996
96,Auckland District,Sexual assault and related offences,1996
69,Auckland District,Dangerous or negligent acts endangering persons,1996
373,Auckland District,"Abduction, harassment and other related offences against a person",1996
127,Auckland District,"Robbery, extortion and related offences",1996
1023,Auckland District,"Unlawful entry with intent/burglary, break and enter",1996
2356,Auckland District,"Fraud, deception and related offences",1996
2494,Auckland District,Illicit drug offences,1996
528,Auckland District,Prohibited and regulated weapons and explosives offences,1996
1711,Auckland District,Property damage and environmental pollution,1996
1256,Auckland District,"Offences against justice procedures, government security and government operations",1996
282,Auckland District,Miscellaneous offences,1996
9,Counties/Manukau District,Homicide and related offences,1996
2915,Counties/Manukau District,Acts intended to cause injury,1996
242,Counties/Manukau District,Sexual assault and related offences,1996
65,Counties/Manukau District,Dangerous or negligent acts endangering persons,1996
524,Counties/Manukau District,"Abduction, harassment and other related offences against a person",1996
170,Counties/Manukau District,"Robbery, extortion and related offences",1996
1419,Counties/Manukau District,"Unlawful entry with intent/burglary, break and enter",1996
1173,Counties/Manukau District,"Fraud, deception and related offences",1996
1266,Counties/Manukau District,Illicit drug offences,1996
1692,Counties/Manukau District,Property damage and environmental pollution,1996
2651,Counties/Manukau District,Public order offences,1996
1307,Counties/Manukau District,"Offences against justice procedures, government security and government operations",1996
104,Counties/Manukau District,Miscellaneous offences,1996
1982,Waikato District,Acts intended to cause injury,1996
117,Waikato District,Sexual assault and related offences,1996
39,Waikato District,Dangerous or negligent acts endangering persons,1996
336,Waikato District,"Abduction, harassment and other related offences against a person",1996
114,Waikato District,"Robbery, extortion and related offences",1996
1344,Waikato District,"Unlawful entry with intent/burglary, break and enter",1996
1972,Waikato District,"Fraud, deception and related offences",1996
2134,Waikato District,Illicit drug offences,1996
433,Waikato District,Prohibited and regulated weapons and explosives offences,1996
2764,Waikato District,Public order offences,1996
836,Waikato District,"Offences against justice procedures, government security and government operations",1996
9,Bay Of Plenty District,Homicide and related offences,1996
2055,Bay Of Plenty District,Acts intended to cause injury,1996
176,Bay Of Plenty District,Sexual assault and related offences,1996
37,Bay Of Plenty District,Dangerous or negligent acts endangering persons,1996
80,Bay Of Plenty District,"Robbery, extortion and related offences",1996
1310,Bay Of Plenty District,"Unlawful entry with intent/burglary, break and enter",1996
1244,Bay Of Plenty District,"Fraud, deception and related offences",1996
2607,Bay Of Plenty District,Illicit drug offences,1996
493,Bay Of Plenty District,Prohibited and regulated weapons and explosives offences,1996
1366,Bay Of Plenty District,Property damage and environmental pollution,1996
1093,Bay Of Plenty District,"Offences against justice procedures, government security and government operations",1996
278,Bay Of Plenty District,Miscellaneous offences,1996
5,Hawkes Bay Area,Homicide and related offences,1996
57,Hawkes Bay Area,Sexual assault and related offences,1996
30,Hawkes Bay Area,Dangerous or negligent acts endangering persons,1996
71,Hawkes Bay Area,"Robbery, extortion and related offences",1996
563,Hawkes Bay Area,"Unlawful entry with intent/burglary, break and enter",1996
2129,Hawkes Bay Area,Theft and related offences,1996
506,Hawkes Bay Area,"Fraud, deception and related offences",1996
179,Hawkes Bay Area,Prohibited and regulated weapons and explosives offences,1996
649,Hawkes Bay Area,Property damage and environmental pollution,1996
581,Hawkes Bay Area,"Offences against justice procedures, government security and government operations",1996
35,Hawkes Bay Area,Miscellaneous offences,1996
1,Tairawhiti Area,Homicide and related offences,1996
410,Tairawhiti Area,Acts intended to cause injury,1996
11,Tairawhiti Area,Dangerous or negligent acts endangering persons,1996
96,Tairawhiti Area,"Abduction, harassment and other related offences against a person",1996
18,Tairawhiti Area,"Robbery, extortion and related offences",1996
867,Tairawhiti Area,Theft and related offences,1996
167,Tairawhiti Area,"Fraud, deception and related offences",1996
103,Tairawhiti Area,Prohibited and regulated weapons and explosives offences,1996
311,Tairawhiti Area,Property damage and environmental pollution,1996
383,Tairawhiti Area,Public order offences,1996
172,Tairawhiti Area,"Offences against justice procedures, government security and government operations",1996
5,Manawatu Area,Homicide and related offences,1996
1123,Manawatu Area,Acts intended to cause injury,1996
47,Manawatu Area,Dangerous or negligent acts endangering persons,1996
319,Manawatu Area,"Abduction, harassment and other related offences against a person",1996
59,Manawatu Area,"Robbery, extortion and related offences",1996
638,Manawatu Area,"Unlawful entry with intent/burglary, break and enter",1996
1449,Manawatu Area,"Fraud, deception and related offences",1996
790,Manawatu Area,Illicit drug offences,1996
254,Manawatu Area,Prohibited and regulated weapons and explosives offences,1996
1063,Manawatu Area,Public order offences,1996
502,Manawatu Area,"Offences against justice procedures, government security and government operations",1996
35,Manawatu Area,Miscellaneous offences,1996
7,Taranaki Area,Homicide and related offences,1996
656,Taranaki Area,Acts intended to cause injury,1996
37,Taranaki Area,Sexual assault and related offences,1996
27,Taranaki Area,Dangerous or negligent acts endangering persons,1996
129,Taranaki Area,"Abduction, harassment and other related offences against a person",1996
21,Taranaki Area,"Robbery, extortion and related offences",1996
491,Taranaki Area,"Unlawful entry with intent/burglary, break and enter",1996
615,Taranaki Area,"Fraud, deception and related offences",1996
848,Taranaki Area,Illicit drug offences,1996
104,Taranaki Area,Prohibited and regulated weapons and explosives offences,1996
588,Taranaki Area,Property damage and environmental pollution,1996
242,Taranaki Area,"Offences against justice procedures, government security and government operations",1996
